,corr_pair,corr_metrics,CodeBertsim,CodeBertfake_pair,CodeBertfake_sim,ISUB StringMatchersim,ISUB StringMatcherfake_pair,ISUB StringMatcherfake_sim,Levenshtein Similaritysim,Levenshtein Similarityfake_pair,Levenshtein Similarityfake_sim,JaroWinklersim,JaroWinklerfake_pair,JaroWinklerfake_sim
109,"('ARGS67', 'ARGS68')",4,tensor(0.9999),,,0.8615384615384616,,,0.8333333333333334,,,0.9444444444444444,,
110,"('ARGS67_tree', 'ARGS68_tree')",4,tensor(0.9999),,,0.9331088664421997,,,0.9090909090909091,,,0.9669421487603306,,
111,"('ARGS68', 'ARGS69')",4,tensor(0.9998),,,0.8615384615384616,,,0.8333333333333334,,,0.9444444444444444,,
112,"('ARGS68_tree', 'ARGS69_tree')",4,tensor(0.9999),,,0.9331088664421997,,,0.9090909090909091,,,0.9669421487603306,,
113,"('ARGS69', 'ARGS71')",4,tensor(0.9996),,,0.6648648648648647,,,0.6666666666666667,,,0.8666666666666666,,
114,"('ARGS69_tree', 'ARGS71_tree')",4,tensor(0.9998),,,0.8457623640467885,,,0.8181818181818181,,,0.9228650137741048,,
115,"('ARGS70', 'ARGS72')",4,tensor(0.9995),,,0.8615384615384616,,,0.8333333333333334,,,0.9444444444444444,,
116,"('ARGS70_tree', 'ARGS72_tree')",4,tensor(0.9999),,,0.9331088664421997,,,0.9090909090909091,,,0.9669421487603306,,
117,"('ARGS71', 'ARGS70')",4,tensor(0.9997),,,0.8615384615384616,,,0.8333333333333334,,,0.9444444444444444,,
118,"('ARGS71', 'ARGS72')",4,tensor(0.9996),,,0.8615384615384616,,,0.8333333333333334,,,0.9444444444444444,,
119,"('ARGS71_tree', 'ARGS70_tree')",4,tensor(0.9999),,,0.9331088664421997,,,0.9090909090909091,,,0.9669421487603306,,
120,"('ARGS71_tree', 'ARGS72_tree')",4,tensor(0.9999),,,0.9331088664421997,,,0.9090909090909091,,,0.9669421487603306,,
121,"('ARGS72', 'ARGS73')",4,tensor(0.9998),,,0.8615384615384616,,,0.8333333333333334,,,0.9444444444444444,,
122,"('ARGS72', 'ARGS82')",4,tensor(0.9997),,,0.8615384615384616,,,0.8333333333333334,,,0.9333333333333333,,
123,"('ARGS72_tree', 'ARGS73_tree')",4,tensor(0.9999),,,0.9331088664421997,,,0.9090909090909091,,,0.9669421487603306,,
124,"('ARGS72_tree', 'ARGS82_tree')",4,tensor(0.9998),,,0.9331088664421997,,,0.9090909090909091,,,0.9614325068870524,,
125,"('ARGS73', 'ARGS76')",3,tensor(0.9991),"('ARGS73', 'IDENT13')",tensor(0.9992),0.8615384615384616,,,0.8333333333333334,,,0.9444444444444444,,
126,"('ARGS73_tree', 'ARGS76_tree')",4,tensor(0.9996),,,0.9331088664421997,,,0.9090909090909091,,,0.9669421487603306,,
127,"('ARGS76', 'ARGS77')",4,tensor(0.9996),,,0.8615384615384616,,,0.8333333333333334,,,0.9444444444444444,,
128,"('ARGS76_tree', 'ARGS77_tree')",4,tensor(0.9991),,,0.9331088664421997,,,0.9090909090909091,,,0.9669421487603306,,
129,"('ARGS77', 'ARGS79')",4,tensor(0.9997),,,0.8615384615384616,,,0.8333333333333334,,,0.9444444444444444,,
130,"('ARGS77_tree', 'ARGS79_tree')",4,tensor(0.9997),,,0.9331088664421997,,,0.9090909090909091,,,0.9669421487603306,,
131,"('ARGS78', 'ARGS80')",4,tensor(0.9996),,,0.8615384615384616,,,0.6666666666666667,,,0.9333333333333333,,
132,"('ARGS78_tree', 'ARGS80_tree')",4,tensor(0.9997),,,0.9331088664421997,,,0.8181818181818181,,,0.9614325068870524,,
133,"('ARGS79', 'ARGS78')",4,tensor(0.9998),,,0.8615384615384616,,,0.8333333333333334,,,0.9444444444444444,,
134,"('ARGS79_tree', 'ARGS78_tree')",4,tensor(0.9999),,,0.9331088664421997,,,0.9090909090909091,,,0.9669421487603306,,
135,"('ARGS80', 'ARGS90')",4,tensor(0.9998),,,0.8615384615384616,,,0.8333333333333334,,,0.9333333333333333,,
136,"('ARGS80_tree', 'ARGS90_tree')",4,tensor(0.9999),,,0.9331088664421997,,,0.9090909090909091,,,0.9614325068870524,,
137,"('ARGS82', 'ARGS74')",4,tensor(0.9994),,,0.6648648648648647,,,0.6666666666666667,,,0.8666666666666666,,
138,"('ARGS82_tree', 'ARGS74_tree')",4,tensor(0.9996),,,0.8457623640467885,,,0.8181818181818181,,,0.9228650137741048,,
139,"('ARGS90', 'ARGS82')",4,tensor(0.9996),,,0.6648648648648647,,,0.6666666666666667,,,0.8666666666666666,,
140,"('ARGS90_tree', 'ARGS82_tree')",4,tensor(0.9998),,,0.8457623640467885,,,0.8181818181818181,,,0.9228650137741048,,
141,"('ARR75', 'ARR76')",3,tensor(0.9991),"('ARR75', 'LA148_0')",tensor(0.9991),0.826236559139785,,,0.8,,,0.92,,
142,"('ARR75_tree', 'ARR76_tree')",4,tensor(0.9999),,,0.9252071005917161,,,0.9,,,0.96,,
143,"('ARR76', 'ARR82')",4,tensor(0.9995),,,0.5330841121495327,,,0.6,,,0.8133333333333334,,
144,"('ARR76_tree', 'ARR82_tree')",4,tensor(0.9998),,,0.8062365591397851,,,0.8,,,0.9066666666666667,,
145,"('ARR82', 'ARR83')",4,tensor(0.9999),,,0.826236559139785,,,0.8,,,0.92,,
146,"('ARR82_tree', 'ARR83_tree')",4,tensor(1.0000),,,0.9252071005917161,,,0.9,,,0.96,,
147,"('ARR83', 'ARR91')",4,tensor(0.9998),,,0.5330841121495327,,,0.6,,,0.8133333333333334,,
148,"('ARR83_tree', 'ARR91_tree')",4,tensor(0.9999),,,0.8062365591397851,,,0.8,,,0.9066666666666667,,
149,"('ARR91', 'ARR93')",4,tensor(0.9998),,,0.826236559139785,,,0.8,,,0.92,,
150,"('ARR91_tree', 'ARR93_tree')",4,tensor(0.9999),,,0.9252071005917161,,,0.9,,,0.96,,
