,corr_pair,corr_metrics,ISUB StringMatchersim,ISUB StringMatcherfake_pair,ISUB StringMatcherfake_sim,Levenshtein Similaritysim,Levenshtein Similarityfake_pair,Levenshtein Similarityfake_sim,JaroWinklersim,JaroWinklerfake_pair,JaroWinklerfake_sim
89,"('ARG80', 'ARG79')",3,0.5330841121495327,,,0.5924050632911393,,,0.8133333333333334,,
90,"('ARG80_tree', 'ARG79_tree')",3,0.8062365591397851,,,0.7898734177215191,,,0.9066666666666667,,
91,"('ARG81', 'ARG91')",3,0.8062365591397851,,,0.7012345679012346,,,0.9066666666666667,,
92,"('ARG81_tree', 'ARG91_tree')",2,0.9152071005917161,,,0.7888888888888889,"('ARG81_tree', 'ARR82_tree')",0.7901234567901234,0.9533333333333333,,
93,"('ARG83', 'ARG75')",3,0.5330841121495327,,,0.5359999999999999,,,0.8133333333333334,,
94,"('ARG83_tree', 'ARG75_tree')",0,0.8062365591397851,"('ARG65_tree', 'ARG75_tree')",0.9152071005917161,0.7146666666666667,"('ARG65_tree', 'ARG75_tree')",0.7615384615384615,0.9066666666666667,"('ARG65_tree', 'ARG75_tree')",0.9533333333333333
95,"('ARG91', 'ARG83')",1,0.5330841121495327,"('ARG68_tree', 'ARG83')",0.5357186544342507,0.5421686746987951,,,0.8133333333333334,"('ARG68_tree', 'ARG83')",0.8133333333333334
96,"('ARG91_tree', 'ARG83_tree')",3,0.8062365591397851,,,0.7228915662650603,,,0.9066666666666667,,
97,"('ARGS59', 'ARGS60')",1,0.6648648648648647,"('ARGS59', 'ARGS79')",0.8615384615384616,0.6553672316384181,,,0.8666666666666666,"('ARGS59', 'ARGS79')",0.9333333333333333
98,"('ARGS59_tree', 'ARGS60_tree')",3,0.8457623640467885,,,0.8043143297380585,,,0.9228650137741048,,
99,"('ARGS60', 'ARGS61')",1,0.8615384615384616,"('ARGS60', 'ARGS68')",0.8615384615384616,0.8194444444444444,,,0.9444444444444444,"('ARGS60', 'ARGS68')",0.9444444444444444
100,"('ARGS60_tree', 'ARGS61_tree')",3,0.9331088664421997,,,0.8939393939393938,,,0.9669421487603306,,
101,"('ARGS61', 'ARGS63')",3,0.8615384615384616,,,0.8060109289617486,,,0.9444444444444444,,
102,"('ARGS61_tree', 'ARGS63_tree')",3,0.9331088664421997,,,0.879284649776453,,,0.9669421487603306,,
103,"('ARGS63', 'ARGS64')",2,0.8615384615384616,"('ARGS63', 'ARGS76')",0.8615384615384616,0.8201058201058202,,,0.9444444444444444,,
104,"('ARGS63_tree', 'ARGS64_tree')",3,0.9331088664421997,,,0.8946608946608947,,,0.9669421487603306,,
105,"('ARGS64', 'ARGS65')",3,0.8615384615384616,,,0.8203125,,,0.9444444444444444,,
106,"('ARGS64_tree', 'ARGS65_tree')",3,0.9331088664421997,,,0.8948863636363636,,,0.9669421487603306,,
107,"('ARGS65', 'ARGS68')",0,0.8615384615384616,"('ARGS65', 'ARGS63')",0.8615384615384616,0.7948717948717948,"('ARGS65', 'ARGS63')",0.8068783068783069,0.9444444444444444,"('ARGS65', 'ARGS63')",0.9444444444444444
108,"('ARGS65_tree', 'ARGS68_tree')",3,0.9331088664421997,,,0.8671328671328671,,,0.9669421487603306,,
109,"('ARGS67', 'ARGS68')",3,0.8615384615384616,,,0.8208955223880597,,,0.9444444444444444,,
110,"('ARGS67_tree', 'ARGS68_tree')",3,0.9331088664421997,,,0.8955223880597014,,,0.9669421487603306,,
111,"('ARGS68', 'ARGS69')",3,0.8615384615384616,,,0.8210784313725491,,,0.9444444444444444,,
112,"('ARGS68_tree', 'ARGS69_tree')",1,0.9331088664421997,"('ARGS63_tree', 'ARGS69_tree')",0.9331088664421997,0.8957219251336899,,,0.9669421487603306,"('ARGS63_tree', 'ARGS69_tree')",0.9669421487603306
113,"('ARGS69', 'ARGS71')",1,0.6648648648648647,"('ARG91', 'ARGS71')",0.7243451463790447,0.6473429951690822,,,0.8666666666666666,"('ARG91', 'ARGS71')",0.8755555555555556
114,"('ARGS69_tree', 'ARGS71_tree')",3,0.8457623640467885,,,0.7944664031620553,,,0.9228650137741048,,
115,"('ARGS70', 'ARGS72')",3,0.8615384615384616,,,0.8095238095238095,,,0.9444444444444444,,
116,"('ARGS70_tree', 'ARGS72_tree')",3,0.9331088664421997,,,0.8831168831168831,,,0.9669421487603306,,
117,"('ARGS71', 'ARGS70')",0,0.8615384615384616,"('ARGS71', 'ARGS72')",0.8615384615384616,0.8214285714285715,"('ARGS71', 'ARGS72')",0.8215962441314555,0.9444444444444444,"('ARGS71', 'ARGS72')",0.9444444444444444
118,"('ARGS71', 'ARGS72')",1,0.8615384615384616,"('ARGS71', 'ARGS79')",0.8615384615384616,0.8215962441314555,,,0.9444444444444444,"('ARGS71', 'ARGS79')",0.9444444444444444
119,"('ARGS71_tree', 'ARGS70_tree')",1,0.9331088664421997,"('ARGS67_tree', 'ARGS70_tree')",0.9331088664421997,0.8961038961038961,,,0.9669421487603306,"('ARGS72_tree', 'ARGS70_tree')",0.9669421487603306
120,"('ARGS71_tree', 'ARGS72_tree')",3,0.9331088664421997,,,0.8962868117797695,,,0.9669421487603306,,
121,"('ARGS72', 'ARGS73')",0,0.8615384615384616,"('ARG73', 'ARGS73')",0.9363636363636364,0.8217592592592593,"('ARG73', 'ARGS73')",0.8333333333333334,0.9444444444444444,"('ARG73', 'ARGS73')",0.9611111111111111
122,"('ARGS72', 'ARGS82')",0,0.8615384615384616,"('ARGS72', 'ARGS74')",0.8615384615384616,0.7175925925925927,"('ARGS72', 'ARGS74')",0.8101851851851852,0.9333333333333333,"('ARGS72', 'ARGS74')",0.9444444444444444
