	OldName	NewName	Dice	Qgram	count
4593	CmdCape	CmdFactionsCape	True	False	1
4610	CmdFactionsAutoClaim	CmdFactionsSetAuto	False	True	1
4621	CmdJoin	CmdFactionsJoin	True	False	1
4626	CmdLineProcessorTestCase	MatcherTestCase	True	False	1
4642	CmdOpen	CmdFactionsOpen	True	False	1
4644	CmdPerm	CmdFactionsPerm	True	False	1
4659	CmdTag	CmdFactionsTag	True	False	1
4677	CoapClientApplication	CoapClient	True	False	1
4678	CoapClientCallback	ClientCallback	True	False	1
4706	CodeBlock_Alternatives_5	CodeBlock_Group_4_0_1	False	True	1
4771	CodeRef_LeftSquareBracketKeyword_2	ImageRef_LeftSquareBracketKeyword_12	False	True	1
4843	ColorSchemeItemRenderer	SignalAlignmentRenderer	False	True	1
4864	Colour	HtmlColour	True	False	1
4877	ColouredWilsonBalding	ColouredWilsonBaldingConstrained	True	False	1
4892	ColumnLayout	Layout	True	False	1
4907	Comb	Combustivel	True	False	1
4943	CommandContext	SessionContext	False	True	1
4974	CommandManagerProxy	LanguageProxy	False	True	1
4985	Command_Unlock	Unlock	True	False	1
4991	Comment	ActivityComment	True	False	1
5011	CommonComponentDockable	CommonToolbarItemDockable	True	False	1
5021	CommonHelper	TestsHelper	False	True	1
5044	CompOp	DeprCompOp	True	False	1
5083	CompareCharacterDataStrategyTest	CharacterDataComparisonProviderTest	False	True	1
5139	ComplExpBasic	BidiComplexImpl	True	False	1
5162	Component	ComponentDefinition	True	False	1
5174	ComponentDescriptionProp	ComponentConfiguration	False	True	1
5195	ComponentResourceFactoryAlloyImpl	ComponentResourceFactoryResLibImpl	False	True	1
5228	CompoundInteractionNodeDelegate	CompoundInteractionNodeDel	True	False	1
5239	Computation	ComputationOperation	True	False	1
5244	ComputeDistributedDictionarySize	BuildIPInvertedIndexDocSorted	False	True	1
5278	ConditionInterface	WriteConditionModelService	True	False	1
5281	ConditionalExpectation	IfExpectation	True	False	1
5297	ConfigAddCommand	ConfigAdd	True	False	1
5343	ConfigurationAnnotationBeanPostProcessor	ConfigurationAnnotationConfigurer	False	True	1
5346	ConfigurationContext	MediaServerConfiguration	True	False	1
5350	ConfigurationException	DemoiselleConfigurationException	False	True	1
5368	ConfigurationManager	ParalleljConfigurationManager	True	False	1
5372	ConfigurationReader	ConfigurationOptionsReader	True	False	1
5376	ConfigurationRetrievalService	RetrieveCampaignService	True	False	1
5378	ConfigurationTest	ConfigurationTestTemplate	True	False	1
5382	ConfigurationWizard	ConfigurationWizardSelectionWizard	True	False	1
5383	ConfigurationWizardSelectWizard	ConfigurationWizard	True	False	1
5384	ConfigurationWrapperTest	ApplicationWrapperTest	True	False	1
5412	Connect	ConnectionAction	True	False	1
5417	ConnectContext	ConnectContextFactory	True	False	1
5423	ConnectTestCase	WorkspaceTestCase	False	True	1
5428	ConnectedAppForm	AppForm	True	False	1
5433	Connection	BasicConnection	False	True	1
5435	Connection	CallbackConnection	True	False	1
5437	ConnectionAcceptor	Acceptor	True	False	1
5453	ConnectionLossTest	ConnectionLossManualTest	True	False	1
5465	ConnectionTable1_4	ConnectionTableNIO	True	False	1
5469	ConnectionTableTest1_4	ConnectionTableTest_NIO	True	False	1
5543	ConstraintBuilder	ConstraintDescriptorBuilder	True	False	1
5546	ConstraintContext	ConstraintValidatorContext	False	True	1
5635	ContainerInventoryStocker	ContainerStocker	True	False	1
5654	ContainerTrackingDashboardService	PreTreatmentContainerDashboardService	True	False	1
5696	Context	TimerContext	True	False	1
5704	ContextHierarchyBuilderTest	OsgifyModelBuilderTest	True	False	1
5759	ControlledJob	CrunchControlledJob	True	False	1
5764	ControllerInterceptor	Interceptor	True	False	1
5785	ConversionTest	TiffConvertTest	False	True	1
5797	ConvertWizardPage1	AsciiConvertPage	False	True	1
5803	ConverterBase	MapperBase	True	False	1
5822	CoordinateDataSnapshot	Snapshot	True	False	1
5825	CoordinateOwner	MyServerCoordinate	False	True	1
5872	CoreUBOLwjgl	CoreUBO	True	False	1
5879	Corral	Ranch	False	True	1
5939	CounterColumnFamilyRowClear	ClearCounterRow	True	False	1
5981	CpuTests	EndToEndTests	True	False	1
5995	CreateAClassInTheClassDiagramFromThePalette	AClassDiagramIsOpenedUiTests	False	True	1
5998	CreateAType	CreateAClass	False	True	1
6017	CreateEntity	CreateEntityService	True	False	1
6051	CreatePatientRequest	PatientRequest	True	False	1
6078	CreateXMPPConnectionException	XMPPException	True	False	1
6139	CsvExporter	PaymentViewCsvExporter	True	False	1
6147	CsvReader	CsvDecoder	True	False	1
6148	CsvReader	FlatTextReader	True	False	1
6195	CustomBiome	TXBiomeBase	False	True	1
6203	CustomDefaultCoordinatorConverterTest	ProcessConverterTest	True	False	1
6232	CustomObjects	CustomObjectCollection	True	False	1
6250	CustomTransition	AutoUpdateableTransition	True	False	1
6252	CustomValueManager	AttributeManager	False	True	1
6257	CustomerResult	CustomerCollection	True	False	1
6285	CyclicSequence	ConcurrentCyclicSequence	True	False	1
6291	CyclomaticComplexity	CyclomaticComplexityRule	True	False	1
6331	DBScriptExecutor	DBCreator	True	False	1
6795	DVGenerator	GeradorDeDigitoDeBoleto	True	False	1
6798	DaaRule	DataflowAnomalyAnalysisRule	True	False	1
6816	DashboardEventsBuilder	ContainerTrackingEventsBuilder	True	False	1
6827	Data	SmartlingData	True	False	1
6840	DataBlock	DistanceCheckedDataBlock	True	False	1
6852	DataCorruptionException	InvalidDataException	True	False	1
6885	DataInterface	WriteDataModelService	True	False	1
6905	DataOutputServer	OutputServer	True	False	1
6918	DataProviderFactoryRegistry	SenseiGatewayRegistry	True	False	1
6921	DataQualityReport	ReportBuilder	True	False	1
6928	DataService	ApplicationDataService	True	False	1
6952	DataSourceProvider	ServiceProvider	True	False	1
6964	DataStructureTest	PackageStatsTest	False	True	1
6968	DataTableInfo	ViewInfo	True	False	1
6969	DataTestCase	ClientWriteTestCase	False	True	1
6986	DatabaseSchemaVersion	DatabaseSchemaVersionManager	True	False	1
7037	DatePickerBase	PickDateBase	False	True	1
7055	DateTimeStart	DateTime	True	False	1
7073	DayViews	Daily	False	True	1
7088	DbDemo	KEGGReactionDemo	True	False	1
7189	DefUsesViewer	DataFlowViewer	False	True	1
7213	DefaultBackEnd	MemBackEnd	True	False	1
7224	DefaultBuiltInMethodCall	SpecialMethodCall	True	False	1
7226	DefaultBundler	SenderSendsBundler	True	False	1
7253	DefaultComboBoxOperator	ComboBoxOperator	True	False	1
7306	DefaultEncoder	MessageEncoders	False	True	1
7378	DefaultKernel	BaseKernel	False	True	1
7379	DefaultKey	DefaultLeafKeyList	False	True	1
7394	DefaultMatchingChecker	RequireAllMatchersChecker	False	True	1
7415	DefaultNode	DiffNode	False	True	1
7417	DefaultNodeTest	DiffNodeTest	False	True	1
7444	DefaultQuery	DefaultVertexQuery	True	False	1
7462	DefaultResponseResolverTest	DefaultRenderableResolverTest	False	True	1
7488	DefaultSrvRecord	SrcRecordImpl	False	True	1
7490	DefaultSsl	DefaultSslConfiguration	True	False	1
7494	DefaultStationTitle	BasicStationTitle	True	False	1
7512	DefaultTestService	CachingTestService	False	True	1
7546	Deferred	DeferredAttribute	True	False	1
7567	DelayEffectExample	Delay	True	False	1
7573	DelegatedIoAcceptor	IoAcceptorWrapper	False	True	1
7574	DelegatedIoConnector	IoConnectorWrapper	False	True	1
7576	DelegatingExecutorListenerTest	HazeltaskThreadPoolExecutorTest	False	True	1
7599	DeleteMessage	ContentMessage	False	True	1
7631	Delim	Delimiter	False	True	1
7667	DemoisellePersistenceCrudException	DemoiselleCrudException	True	False	1
7668	DemoisellePrincipal	DemoiselleUser	True	False	1
7677	DemuxTest	MessageQueueTest	True	False	1
7680	DenseMap	RowCyclicMap	False	True	1
7726	DescriptorBuilder	DescriptorBuilder_m1_m2_m3_m9_m10	False	True	1
7832	DescriptorImpl	MarkTemplateDescriptor	True	False	1
7843	DesignExtractsActivity	ExtractsActivity	True	False	1
7849	DesignRulesTest	PerformanceRulesTest	False	True	1
7873	Details	SocketDetails	True	False	1
7877	DetailsDto	ExperimentDetailsDto	True	False	1
7926	DiResolverFactoryPmInjectField	DiResolverFactoryPmInjectFieldByExpression	False	True	1
7942	Dialog	DialogPrim	True	False	1
7955	Dictionary	DictionariesDictionary	True	False	1
7961	DiffNodeTest	DifferenceTest	False	True	1
7983	Dimension	CanaryDimension	True	False	1
8008	DirectIoFinalizer	CopyOfDirectIoCommitEditor	True	False	1
8035	Dirtyable	DirtyableDBObject	True	False	1
8041	DisableConditionsForm	ManageAchieveGoalsConditionsForm	True	False	1
8049	DisbursementDetails	Disbursement	True	False	1
8079	DiskStoreBeanPostProcessor	DiskStoreDirectoryBeanPostProcessor	True	False	1
8105	Distance	EuclidianDistance	True	False	1
8112	DistributedCommitLog	CommitLog	True	False	1
8143	DoArgument	DoArg	True	False	1
8190	DocumentImpl	XdocFileImpl	False	True	1
8226	Document_ContentsAssignment_1_1_0	Document_SectionsAssignment_3_0_1_0	False	True	1
8271	DomainGlobals	DomainConstants	False	True	1
8287	DoubleCheckedLocking	DoubleCheckedLockingRule	True	False	1
8299	DoubleFilter	DoubleParser	False	True	1
8304	DoubleRangeValuesPojo	DoubleValuePojo	True	False	1
8321	DownsamplingPredictiveModelBuilder	DownsamplingClassifierBuilder	True	False	1
8325	DozerCache	DefaultCache	False	True	1
8330	DozerConfigurationProperties	DozerProperties	True	False	1
8332	DozerManager	DozerProvider	False	True	1
8366	DropTest	ChanceTest	False	True	1
8409	DummyReporter	DummyContext	False	True	1
8451	DynamicCacheManagerBigCacheCloneTest	DynamicCacheConfigTest	True	False	1
8456	DynamicComposite	Composite	True	False	1
8465	DynamicFunctions	NativeFunctionLibrary	True	False	1
8529	EM	EMOld	True	False	1
8621	Ec2ItestHost	Ec2CloudHost	False	True	1
8629	EcjAstPrinter	EcjTreePrinter	False	True	1
8633	EclipseASTPrinter	Printer	True	False	1
8667	EdgeGenerator	FirstClassEdgeGenerator	True	False	1
8678	EditAssociationRole	AnUmlModelWithAnAssociationUnitTests	True	False	1
8762	ElasticSearchResult	SearchResult	True	False	1
8768	ElectricElement	BasicElement	False	True	1
8769	Element	ElementSelector	True	False	1
8777	ElementComparator	LexicographicalElementComparator	True	False	1
8780	ElementDecoration	Decoration	False	True	1
8781	ElementDecoratorDescriptor	DecoratorDescriptor	False	True	1
8782	ElementDecoratorFactory	DecoratorFactory	False	True	1
8794	ElementNameQualifier	ElementNameSelector	False	True	1
8820	EmailBuilder_setBody_setSender	EmailBuilder_body_sender	True	False	1
8821	EmailBuilder_setBody_setSender_setSubject	EmailBuilder_body_sender_subject	True	False	1
8822	EmailBuilder_setBody_setSubject	EmailBuilder_body_subject	True	False	1
8826	EmailDefinition	EmailDef	True	False	1
8847	EmbeddedGeoJSONLocation	GeoJsonLocation	True	False	1
8882	EmptyAttributeManager	EmptyAppEventHandler	False	True	1
8885	EmptyClassPool	EmptyResolver	False	True	1
8892	EmptyFinalizerRuleTest	ImportsRulesTest	True	False	1
8910	EmulatorImpl	CpuImpl	True	False	1
8914	EnableButtonsCommand	HardPauseCommand	True	False	1
8921	Enacter	Deployer	False	True	1
8960	EndpointGraph	EGraph	True	False	1
8969	EndpointTemplate	KeyStoneEndpointTemplates	True	False	1
8976	Engine	DistributeEngine	True	False	1
8987	EnhancedTreeOperator	TreeOperator	True	False	1
8992	Enricher	ComponentObjectsEnricher	True	False	1
8996	EnsemblMappingProcessor	EnsemblMapper	True	False	1
9028	EntityHelper	SchemaHelper	False	True	1
9035	EntityList	EntityListImpl	True	False	1
9054	EntityService	EntityServiceImpl	True	False	1
9062	EntityTree	EntityTreeImpl	True	False	1
9075	Entry	FeedEntry	True	False	1
9076	Entry	FragEntry	True	False	1
9081	Entry	StatsEntry	True	False	1
9088	EntryFeatureTest	EventTest	True	False	1
9098	EnumFieldType	EnumType	True	False	1
9104	EnumeratorBaring	SingleEnumerating	True	False	1
9112	EnunciateContractTestCase	InAPTTestCase	True	False	1
9122	EnunciateJaxbModule	EnunciateJacksonModule	True	False	1
9162	EquinoxRunner	EquinoxPreparer	False	True	1
9170	ErroneousSourceTargetWithSqlDateMapper	DateToSqlDateMapper	True	False	1
9171	ErronuousMapper	ErroneousCollectionToNonCollectionMapper	True	False	1
9173	Error	StripeError	True	False	1
9243	EventCalls	DetailsPmEventCalls	True	False	1
9261	EventManager	TCToForgeEventConverter	True	False	1
9274	EventSourceHandler	CometHandler	True	False	1
9288	EvidenceExhibit	Confidence	False	True	1
9299	ExBatch	SummarizeBatch	True	False	1
9335	ExampleEventsReceiver	ExampleNetStream	True	False	1
